(1)_X,0 --> 3
(2)_X,1 --> 3
(3)_X,2 --> 3
(4)_X,3 --> 3
(5)_X,4 --> 3
(6)_X,5 --> 3
(7)_X,6 --> 3
(8)_X,7 --> 3
(9)_X,8 --> 3
(10)_X,9 --> 3
(11)_X,10 --> 3
(12)_X,11 --> 3
(13)_X,12 --> 3
(14)_X,13 --> 3
(15)_X,14 --> 3
(16)_X,15 --> 3
(17)_X,16 --> 3
(18)_X,17 --> 3
(19)_X,18 --> 3
(20)_X,19 --> 3
(21)_X,20 --> 3
(22)_X,21 --> 3
(23)_X,22 --> 3
(24)_X,23 --> 3
(25)_X,24 --> 3
(26)_X,25 --> 3
(27)_X,26 --> 3
(28)_X,27 --> 3
(29)_X,28 --> 3
(30)_X,29 --> 3
(31)_X,30 --> 3
(32)_X,31 --> 3
(33)_X,32 --> 3
(34)_X,33 --> 3
(35)_X,34 --> 3
(36)_X,35 --> 3
(37)_X,36 --> 3
(38)_X,37 --> 3
(39)_X,38 --> 3
(40)_X,39 --> 3
(41)_X,40 --> 3
(42)_X,41 --> 3
(43)_X,42 --> 3
(44)_X,43 --> 3
(45)_X,44 --> 3
(46)_X,45 --> 3
(47)_X,46 --> 3
(48)_X,47 --> 3
(49)_X,48 --> 3
(50)_X,49 --> 3
(51)_X,50 --> 3
(52)_X,51 --> 3
(53)_X,52 --> 3
(54)_X,53 --> 3
(55)_X,54 --> 3
(56)_X,55 --> 3
(57)_X,56 --> 3
(58)_X,57 --> 3
(59)_X,58 --> 3
(60)_X,59 --> 3
(61)_X,60 --> 3
(62)_X,61 --> 3
(63)_X,62 --> 3
(64)_X,63 --> 3
(65)_X,64 --> 3
(66)_X,65 --> 3
(67)_X,66 --> 3
(68)_X,67 --> 3
(69)_X,68 --> 3
(70)_X,69 --> 3
(71)_X,70 --> 3
(72)_X,71 --> 3
(73)_X,72 --> 3
(74)_X,73 --> 3
(75)_X,74 --> 3
(76)_X,75 --> 3
(77)_X,76 --> 3
(78)_X,77 --> 3
(79)_X,78 --> 3
(80)_X,79 --> 3
(81)_X,80 --> 3
(82)_X,81 --> 3
(83)_X,82 --> 3
(84)_X,83 --> 3
(85)_X,84 --> 3
(86)_X,85 --> 3
(87)_X,86 --> 3
(88)_X,87 --> 3
(89)_X,88 --> 3
(90)_X,89 --> 3
(91)_X,90 --> 3
(92)_X,91 --> 3
(93)_X,92 --> 3
(94)_X,93 --> 3
(95)_X,94 --> 3
(96)_X,95 --> 3
(97)_X,96 --> 3
(98)_X,97 --> 3
(99)_X,98 --> 3
(100)_X,99 --> 3
(101)_X,100 --> 3
(102)_X,101 --> 3
(103)_X,102 --> 3
(104)_X,103 --> 3
(105)_X,104 --> 3
(106)_X,105 --> 3
(107)_X,106 --> 3
(108)_X,107 --> 3
(109)_X,108 --> 3
(110)_X,109 --> 3
(111)_X,110 --> 3
(112)_X,111 --> 3
(113)_X,112 --> 3
(114)_X,113 --> 3
(115)_X,114 --> 3
(116)_X,115 --> 3
(117)_X,116 --> 3
(118)_X,117 --> 3
(119)_X,118 --> 3
(120)_X,119 --> 3
(121)_X,120 --> 3
(122)_X,121 --> 3
(123)_X,122 --> 3
(124)_X,123 --> 3
(125)_X,124 --> 3
(126)_X,125 --> 3
(127)_X,126 --> 3
(128)_X,127 --> 3
(129)_X,128 --> 3
(130)_X,129 --> 3
(131)_X,130 --> 3
(132)_X,131 --> 3
(133)_X,132 --> 3
(134)_X,133 --> 3
(135)_X,134 --> 3
(136)_X,135 --> 3
(137)_X,136 --> 3
(138)_X,137 --> 3
(139)_X,138 --> 3
(140)_X,139 --> 3
(141)_X,140 --> 3
(142)_X,141 --> 3
(143)_X,142 --> 3
(144)_X,143 --> 3
(145)_X,144 --> 3
(146)_X,145 --> 3
(147)_X,146 --> 3
(148)_X,147 --> 3
(149)_X,148 --> 3
(150)_X,149 --> 3
(151)_X,150 --> 3
(152)_X,151 --> 3
(153)_X,152 --> 3
(154)_X,153 --> 3
(155)_X,154 --> 3
(156)_X,155 --> 3
(157)_X,156 --> 3
(158)_X,157 --> 3
(159)_X,158 --> 3
(160)_X,159 --> 3
(161)_X,160 --> 3
(162)_X,161 --> 3
(163)_X,162 --> 3
(164)_X,163 --> 3
(165)_X,164 --> 3
(166)_X,165 --> 3
